departureId,routeId,routeName,originDeparture,departureMinute,bandOrdinal,serviceWindow,serviceDayHints,selectedPatternId,patternMatchStatus,status,serviceRuleRaw,departureRuleRaw,departureRemarkRaw
1a:07:40:b0,1a,1A Main Campus,07:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:07:50:b0,1a,1A Main Campus,07:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:08:10:b0,1a,1A Main Campus,08:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:08:20:b0,1a,1A Main Campus,08:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:08:40:b0,1a,1A Main Campus,08:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:08:50:b0,1a,1A Main Campus,08:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:09:10:b0,1a,1A Main Campus,09:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:09:20:b0,1a,1A Main Campus,09:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:09:40:b0,1a,1A Main Campus,09:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:09:50:b0,1a,1A Main Campus,09:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:10:10:b0,1a,1A Main Campus,10:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:10:20:b0,1a,1A Main Campus,10:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:10:40:b0,1a,1A Main Campus,10:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:10:50:b0,1a,1A Main Campus,10:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:11:10:b0,1a,1A Main Campus,11:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:11:20:b0,1a,1A Main Campus,11:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:11:40:b0,1a,1A Main Campus,11:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:11:50:b0,1a,1A Main Campus,11:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:12:10:b0,1a,1A Main Campus,12:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:12:20:b0,1a,1A Main Campus,12:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:12:40:b0,1a,1A Main Campus,12:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:12:50:b0,1a,1A Main Campus,12:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:13:10:b0,1a,1A Main Campus,13:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:13:20:b0,1a,1A Main Campus,13:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:13:40:b0,1a,1A Main Campus,13:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:13:50:b0,1a,1A Main Campus,13:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:14:10:b0,1a,1A Main Campus,14:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:14:20:b0,1a,1A Main Campus,14:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:14:40:b0,1a,1A Main Campus,14:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:14:50:b0,1a,1A Main Campus,14:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:15:10:b0,1a,1A Main Campus,15:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:15:20:b0,1a,1A Main Campus,15:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:15:40:b0,1a,1A Main Campus,15:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:15:50:b0,1a,1A Main Campus,15:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:16:10:b0,1a,1A Main Campus,16:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:16:20:b0,1a,1A Main Campus,16:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:16:40:b0,1a,1A Main Campus,16:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:16:50:b0,1a,1A Main Campus,16:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:17:10:b0,1a,1A Main Campus,17:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:17:20:b0,1a,1A Main Campus,17:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:17:40:b0,1a,1A Main Campus,17:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:17:50:b0,1a,1A Main Campus,17:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:18:10:b0,1a,1A Main Campus,18:10,10,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:18:20:b0,1a,1A Main Campus,18:20,20,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:18:40:b0,1a,1A Main Campus,18:40,40,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1a:18:50:b0,1a,1A Main Campus,18:50,50,0,07:40–18:50,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1a:default,unique,scheduled_departure_candidate,07:40-18:50 For Mon to Sat (Except Public Holidays),"Every 10, 20, 40, 50",
1b:08:00:b0,1b,1B Main Campus,08:00,0,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:08:30:b0,1b,1B Main Campus,08:30,30,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:09:00:b0,1b,1B Main Campus,09:00,0,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:09:30:b0,1b,1B Main Campus,09:30,30,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:10:00:b0,1b,1B Main Campus,10:00,0,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:10:30:b0,1b,1B Main Campus,10:30,30,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:11:00:b0,1b,1B Main Campus,11:00,0,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:11:30:b0,1b,1B Main Campus,11:30,30,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:12:00:b0,1b,1B Main Campus,12:00,0,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
1b:12:30:b0,1b,1B Main Campus,12:30,30,0,08:00–18:30,monday|tuesday|wednesday|thursday|friday|saturday|except_public_holiday,1b:via-pgh1,unique,scheduled_departure_candidate,08:00 - 18:30 For Mon to Sat only (Except Public Holidays),"00, 30",
